Quadro extraído em 12 de Julho de 2016 (15:59:38);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://www.ine.pt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Local de vinificação (NUTS - 2013);"Produção vinícola declarada em vinho (hl) pelos produtores por Local de vinificação (NUTS - 2013) e Qualidade e cor do vinho (Novo regulamento); Anual";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Qualidade e cor do vinho (Novo regulamento);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;T: Total;;1: Vinho licoroso com denominação de origem protegida;;11: Vinho licoroso branco com denominação de origem protegida;;12: Vinho licoroso tinto e rosado com denominação de origem protegida;;2: Vinho com denominação de origem protegida;;21: Vinho branco com denominação de origem protegida;;22: Vinho tinto e rosado com denominação de origem protegida;;3: Vinho com indicação geográfica protegida;;31: Vinho branco com indicação geográfica protegida;;32: Vinho tinto e rosado com indicação geográfica protegida;;4: Vinho com indicação de casta;;41: Vinho branco com indicação de casta;;42: Vinho tinto e rosado com indicação de casta;;5: Vinho sem certificação;;51: Vinho branco sem certificação;;52: Vinho tinto e rosado sem certificação;;T: Total;;1: Vinho licoroso com denominação de origem protegida;;11: Vinho licoroso branco com denominação de origem protegida;;12: Vinho licoroso tinto e rosado com denominação de origem protegida;;2: Vinho com denominação de origem protegida;;21: Vinho branco com denominação de origem protegida;;22: Vinho tinto e rosado com denominação de origem protegida;;3: Vinho com indicação geográfica protegida;;31: Vinho branco com indicação geográfica protegida;;32: Vinho tinto e rosado com indicação geográfica protegida;;4: Vinho com indicação de casta;;41: Vinho branco com indicação de casta;;42: Vinho tinto e rosado com indicação de casta;;5: Vinho sem certificação;;51: Vinho branco sem certificação;;52: Vinho tinto e rosado sem certificação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;hl ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PT: Portugal;7044677;&;866924;&;183831;&;683093;&;2786012;&;1080151;&;1705860;&;1865701;&;415643;&;1450058;&;37289;&;4164;&;33126;&;1488751;&;420189;&;1068562;&;6205756;;820490;;170726;;649764;;2193376;;833336;;1360040;;1763545;;400219;;1363326;;47833;;11242;;36592;;1380512;;414824;;965688;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Continente;6988274;&;825858;&;183336;&;642522;&;2783259;&;1078270;&;1704989;&;1864065;&;415354;&;1448711;&;37289;&;4164;&;33126;&;1477802;&;419976;&;1057827;&;6152005;;781981;;169406;;612576;;2192217;;832824;;1359393;;1762312;;399779;;1362534;;47833;;11242;;36592;;1367661;;414516;;953145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11: Norte;2639416;&;796308;&;162185;&;634123;&;1460582;&;800984;&;659599;&;68892;&;31979;&;36912;&;2723;&;2;&;2721;&;310911;&;79857;&;231054;&;2235553;;754381;;149324;;605057;;1142466;;598600;;543866;;59922;;32183;;27739;;1578;;27;;1551;;277207;;60126;;217080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111: Alto Minho;168290;&;0;&;0;&;0;&;163630;&;121881;&;41749;&;2677;&;865;&;1812;&;0;&;0;&;0;&;1983;&;1413;&;571;&;136820;;0;;0;;0;;134003;;93997;;40005;;2712;;1026;;1686;;20;;13;;8;;86;;45;;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1111601: Arcos de Valdevez;3638;&;0;&;0;&;0;&;3539;&;1113;&;2427;&;98;&;44;&;54;&;0;&;0;&;0;&;0;&;0;&;0;&;4006;;0;;0;;0;;3955;;1466;;2489;;51;;12;;39;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1111602: Caminha;147;&;0;&;0;&;0;&;74;&;56;&;18;&;73;&;56;&;18;&;0;&;0;&;0;&;0;&;0;&;0;&;98;;0;;0;;0;;37;;17;;21;;61;;51;;10;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1111603: Melgaço;41582;&;0;&;0;&;0;&;40954;&;37513;&;3440;&;260;&;25;&;235;&;0;&;0;&;0;&;368;&;368;&;0;&;35520;;0;;0;;0;;34542;;31556;;2985;;977;;544;;433;;0;;0;;0;;1;;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1111604: Monção;48384;&;0;&;0;&;0;&;47505;&;35624;&;11882;&;876;&;57;&;819;&;0;&;0;&;0;&;3;&;3;&;0;&;40228;;0;;0;;0;;39488;;28009;;11479;;739;;61;;678;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1111605: Paredes de Coura;3;&;0;&;0;&;0;&;3;&;1;&;2;&;0;&;0;&;0;&;0;&;0;&;0;&;0;&;0;&;0;&;2;;0;;0;;0;;2;;1;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1111606: Ponte da Barca;17715;&;0;&;0;&;0;&;17576;&;10054;&;7523;&;139;&;72;&;68;&;0;&;0;&;0;&;0;&;0;&;0;&;12796;;0;;0;;0;;12625;;5225;;7399;;96;;65;;31;;0;;0;;0;;75;;45;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1111607: Ponte de Lima;47240;&;0;&;0;&;0;&;45239;&;31833;&;13406;&;524;&;134;&;390;&;0;&;0;&;0;&;1477;&;973;&;505;&;36902;;0;;0;;0;;36508;;23746;;12763;;394;;72;;322;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1111608: Valença;1393;&;0;&;0;&;0;&;1188;&;779;&;409;&;205;&;168;&;37;&;0;&;0;&;0;&;0;&;0;&;0;&;1766;;0;;0;;0;;1680;;1248;;432;;86;;46;;40;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1111609: Viana do Castelo;7878;&;0;&;0;&;0;&;7416;&;4819;&;2598;&;327;&;169;&;158;&;0;&;0;&;0;&;135;&;69;&;66;&;5321;;0;;0;;0;;5119;;2711;;2407;;173;;69;;104;;20;;13;;8;;10;;0;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1111610: Vila Nova de Cerveira;311;&;0;&;0;&;0;&;136;&;91;&;46;&;175;&;140;&;35;&;0;&;0;&;0;&;0;&;0;&;0;&;181;;0;;0;;0;;46;;18;;29;;135;;105;;30;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112: Cávado;66322;&;0;&;0;&;0;&;63602;&;51650;&;11952;&;2474;&;2112;&;362;&;0;&;0;&;0;&;246;&;219;&;27;&;53821;;0;;0;;0;;52355;;40255;;12101;;1253;;919;;333;;0;;0;;0;;213;;182;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1120301: Amares;21210;&;0;&;0;&;0;&;20062;&;17954;&;2107;&;1149;&;1043;&;106;&;0;&;0;&;0;&;0;&;0;&;0;&;14545;;0;;0;;0;;14047;;12149;;1898;;498;;452;;46;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1120302: Barcelos;32749;&;0;&;0;&;0;&;32326;&;27343;&;4983;&;374;&;323;&;51;&;0;&;0;&;0;&;50;&;35;&;15;&;29257;;0;;0;;0;;28974;;23090;;5883;;259;;223;;37;;0;;0;;0;;24;;17;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1120303: Braga;5214;&;0;&;0;&;0;&;4593;&;2206;&;2387;&;430;&;258;&;173;&;0;&;0;&;0;&;191;&;184;&;7;&;4396;;0;;0;;0;;3899;;1557;;2341;;333;;159;;174;;0;;0;;0;;165;;165;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
